stratum,year,popEst,sePopEst,VCF,seVCF
44,1989,517,501,2.04,0.72
45,1989,27108,8157,2.36,0.38
46,1989,10699,2970,2.36,0.38
47,1989,0,0,2.36,0.38
48,1989,4788,4014,2.36,0.38
49,1989,0,0,2.36,0.38
50,1989,0,0,2.59,0.46
75,1989,16850.97,8042.54,4.02,0.82
76,1989,12061.01,6914.27,4.02,0.82
77,1989,1365.8,1317.06,2.59,0.46
1,1990,268,262,2.43,0.46
2,1990,0,0,2.43,0.46
3,1990,22797,12091,2.43,0.46
4,1990,82439,34534,2.43,0.46
5,1990,11656,4715,2.43,0.46
6,1990,2743,1837,2.43,0.46
7,1990,1557,1452,2.43,0.46
8,1990,0,0,2.43,0.46
9,1990,2489,1224,2.43,0.46
10,1990,669,806,2.43,0.46
11,1990,23049,20128,2.43,0.46
12,1990,45391,18387,2.59,0.46
13,1990,19188,16560,2.59,0.46
14,1990,1127,1118,2.59,0.46
15,1990,0,0,2.59,0.46
16,1990,0,0,2.59,0.46
17,1990,3976,3879,2.59,0.46
18,1990,0,0,2.59,0.46
20,1990,2942,691,2.59,0.46
21,1990,3895,2128,2.59,0.46
22,1990,13259,8977,2.59,0.46
23,1990,3524,1703,2.59,0.46
24,1990,2633,2798,2.59,0.46
25,1990,16913,4976,2.59,0.46
26,1990,61700,20037,2.72,0.42
27,1990,11729,7432,2.72,0.42
28,1990,2595,653,2.72,0.42
29,1990,2104,880,2.72,0.42
30,1990,18882,7132,1.29,0.27
31,1990,23721,9413,1.29,0.27
32,1990,5800,1895,1.29,0.27
33,1990,324,314,1.29,0.27
34,1990,27782,8351,1.85,0.3
35,1990,3190,1854,1.85,0.3
36,1990,4701,3395,1.85,0.3
37,1990,18949,5941,1.85,0.3
38,1990,0,0,1.85,0.3
39,1990,6791,2009,1.85,0.3
40,1990,21156,4860,1.85,0.3
41,1990,5411,2120,2.02,0.7
42,1990,5425,4491,2.02,0.7
43,1990,457,467,2.02,0.7
44,1990,2044,1669,2.02,0.7
45,1990,5655,2619,2.36,0.38
46,1990,3974,2164,2.36,0.38
47,1990,0,0,2.36,0.38
48,1990,4779,2448,2.36,0.38
49,1990,1308,790,2.36,0.38
50,1990,0,0,2.59,0.46
51,1990,0,0,2.58,0.46
52,1990,0,0,2.58,0.46
53,1990,0,0,2.58,0.46
54,1990,3343.07,3483.26,2.58,0.46
55,1990,0,0,2.58,0.46
56,1990,0,0,2.58,0.46
75,1990,32765.77,17124.34,4.02,0.82
76,1990,4828.19,4579.94,4.02,0.82
77,1990,2731.61,2634.12,2.59,0.46
1,1991,0,0,2.43,0.46
2,1991,0,0,2.43,0.46
3,1991,10970,5415,2.43,0.46
4,1991,85395,37633,2.43,0.46
5,1991,1128,738,2.43,0.46
6,1991,3616,1855,2.43,0.46
7,1991,925,796,2.43,0.46
8,1991,0,0,2.43,0.46
9,1991,1991,1223,2.43,0.46
10,1991,0,0,2.43,0.46
11,1991,6508,4008,2.43,0.46
12,1991,15319,8962,2.59,0.46
13,1991,33046,14934,2.59,0.46
14,1991,3380,3161,2.59,0.46
15,1991,0,0,2.59,0.46
16,1991,0,0,2.59,0.46
17,1991,28317,18905,2.59,0.46
18,1991,0,0,2.59,0.46
20,1991,5616,2444,2.59,0.46
21,1991,1805,1781,2.59,0.46
22,1991,10102,7154,2.59,0.46
23,1991,1543,1536,2.59,0.46
24,1991,2609,2696,2.59,0.46
25,1991,22047,8316,2.59,0.46
26,1991,49612.8,24730.06,4.08,0.2
27,1991,5979.24,3160.44,4.08,0.2
28,1991,1558.25,1558.25,4.08,0.2
29,1991,1263.12,1284.79,4.08,0.2
30,1991,68057,33831,2.68,0.78
31,1991,27893,11607,2.68,0.78
32,1991,9255,3618,2.68,0.78
33,1991,4058,2111,2.68,0.78
34,1991,18777,8240,1.46,0.41
35,1991,2507,1091,1.46,0.41
36,1991,1095,478,1.46,0.41
37,1991,15811,7254,1.46,0.41
38,1991,1219,943,1.46,0.41
39,1991,9418,4436,1.46,0.41
40,1991,15746,4494,1.46,0.41
41,1991,569,364,2.04,0.71
42,1991,457,458,2.04,0.71
43,1991,0,0,2.04,0.71
44,1991,1033,717,2.04,0.71
45,1991,7098,3677,1.97,0.46
46,1991,1455,837,1.97,0.46
47,1991,0,0,1.97,0.46
48,1991,2769,1891,1.97,0.46
49,1991,1460,563,1.97,0.46
50,1991,0,0,2.59,0.46
51,1991,0,0,2.58,0.46
52,1991,0,0,2.58,0.46
53,1991,0,0,2.58,0.46
54,1991,4433.97,4637.42,2.58,0.46
55,1991,0,0,2.58,0.46
56,1991,0,0,2.58,0.46
75,1991,4680.82,3250.08,4.02,0.82
76,1991,965.63,915.98,4.02,0.82
77,1991,4097.41,3304.86,2.59,0.46
1,1992,0,0,2.43,0.46
2,1992,0,0,2.43,0.46
3,1992,15066,7977.74,2.43,0.46
4,1992,30836.7,11592.44,2.43,0.46
5,1992,1877.72,1170.16,2.43,0.46
6,1992,1494.45,639.02,2.43,0.46
7,1992,0,0,2.43,0.46
8,1992,0,0,2.43,0.46
9,1992,4474.93,2266.54,2.43,0.46
10,1992,5011.87,6040.43,2.43,0.46
11,1992,3791.81,2817.27,2.43,0.46
12,1992,31038.99,6370.57,2.59,0.46
13,1992,24853.2,10370.4,2.59,0.46
14,1992,0,0,2.59,0.46
15,1992,5051.07,1404.45,2.59,0.46
16,1992,0,0,2.59,0.46
17,1992,3612.02,3606.6,2.59,0.46
18,1992,0,0,2.59,0.46
20,1992,7883.05,3895.02,2.59,0.46
21,1992,0,0,2.59,0.46
22,1992,1261.74,1190.74,2.59,0.46
23,1992,1572.87,1520.52,2.59,0.46
24,1992,91863.05,91184.66,2.59,0.46
25,1992,19011.39,4191.56,2.59,0.46
26,1992,24567.25,11200.05,4.18,0.81
27,1992,3403.21,1906.99,4.18,0.81
28,1992,4789.35,4789.35,4.18,0.81
29,1992,0,0,4.18,0.81
30,1992,33498.82,12344.18,2.4,0.65
31,1992,26708.93,12696.35,2.4,0.65
32,1992,14169.36,4670.53,2.4,0.65
33,1992,0,0,2.4,0.65
34,1992,12703.44,3223.47,1.16,0.19
35,1992,8659.27,3958.65,1.16,0.19
36,1992,1963.07,1834.52,1.16,0.19
37,1992,26962.13,7971.05,1.16,0.19
38,1992,1700.68,1288.75,1.16,0.19
39,1992,11072.07,3125.97,1.16,0.19
40,1992,19254.14,4512.25,1.16,0.19
41,1992,4390.85,2934.74,1.77,0.79
42,1992,1187.42,964.04,1.77,0.79
43,1992,1600.36,999.82,1.77,0.79
44,1992,447.4,435.26,1.77,0.79
45,1992,14585.86,7397.97,2.1,0.49
46,1992,1107.4,518.16,2.1,0.49
47,1992,0,0,2.1,0.49
48,1992,983.48,510.43,2.1,0.49
49,1992,0,0,2.1,0.49
50,1992,0,0,2.59,0.46
51,1992,0,0,2.58,0.46
52,1992,0,0,2.58,0.46
53,1992,0,0,2.58,0.46
54,1992,1477.99,1545.8,2.58,0.46
55,1992,0,0,2.58,0.46
56,1992,0,0,2.58,0.46
57,1992,0,0,2.58,0.46
75,1992,10707.67,2984.36,4.18,0.86
76,1992,3012.21,1275.08,4.18,0.81
77,1992,5353.95,3955.81,2.59,0.46
1,1993,267.3,262.09,2.43,0.46
2,1993,0,0,2.43,0.46
3,1993,8560.22,4257.49,2.43,0.46
4,1993,62985.6,31450.12,2.43,0.46
5,1993,751.09,454.3,2.43,0.46
6,1993,0,0,2.43,0.46
7,1993,291.6,308,2.43,0.46
8,1993,0,0,2.43,0.46
9,1993,2486.07,1850.94,2.43,0.46
10,1993,0,0,2.43,0.46
11,1993,2166.75,1093.2,2.43,0.46
12,1993,4960.56,2746.19,2.59,0.46
13,1993,48641.27,22532.98,2.59,0.46
14,1993,9006.17,5145.37,2.59,0.46
15,1993,0,0,2.59,0.46
16,1993,0,0,2.59,0.46
17,1993,4816.03,3268.15,2.59,0.46
18,1993,0,0,2.59,0.46
20,1993,3741.11,2554.82,2.59,0.46
21,1993,2281.33,2234.56,2.59,0.46
22,1993,7255.01,5411.44,2.59,0.46
23,1993,1828.92,1810.15,2.59,0.46
24,1993,4727.87,4993.35,2.59,0.46
25,1993,36516.23,15114.54,2.59,0.46
26,1993,33078.24,11593.75,3.51,0.59
27,1993,4572.36,1706.44,3.51,0.59
28,1993,6032.52,5090.51,3.51,0.59
29,1993,2173.32,1533.66,3.51,0.59
30,1993,40969.3,23148.07,2.15,0.3
31,1993,23297.1,11966.45,2.15,0.3
32,1993,10981.91,3207.89,2.15,0.3
33,1993,2710.19,2029.43,2.15,0.3
34,1993,9136.04,3658.69,1.45,0.33
35,1993,5932.43,2689.64,1.45,0.33
36,1993,817.94,404.39,1.45,0.33
37,1993,10440.5,3421.76,1.45,0.33
38,1993,0,0,1.45,0.33
39,1993,8757.57,2545.64,1.45,0.33
40,1993,12959.52,4836.24,1.45,0.33
41,1993,9340.51,6138.51,1.96,0.67
42,1993,0,0,1.96,0.67
43,1993,2215.19,2203.26,1.96,0.67
44,1993,0,0,1.96,0.67
45,1993,9988.01,5601.47,2.24,0.4
46,1993,6851.11,2875.46,2.24,0.4
47,1993,778.62,754.11,2.24,0.4
48,1993,5944.59,2410.28,2.24,0.4
49,1993,2073.63,1083.84,2.24,0.4
50,1993,0,0,2.58,0.46
51,1993,0,0,2.58,0.46
52,1993,0,0,2.58,0.46
53,1993,0,0,2.58,0.46
54,1993,2955.98,3091.61,2.58,0.46
55,1993,0,0,2.58,0.46
56,1993,0,0,2.58,0.46
57,1993,0,0,2.58,0.46
75,1993,10425.89,4258.35,4.4,0.62
76,1993,48618.22,41008.93,4.4,0.62
77,1993,2676.97,1526.35,2.59,0.46
1,1994,0,0,2.43,0.46
2,1994,0,0,2.43,0.46
3,1994,7190.59,4431.08,2.43,0.46
4,1994,45270.9,23620.12,2.43,0.46
5,1994,8637.54,5232.09,2.43,0.46
6,1994,3736.12,1918.86,2.43,0.46
7,1994,97.2,102.66,2.43,0.46
8,1994,0,0,2.43,0.46
9,1994,3480.5,1463.45,2.43,0.46
10,1994,0,0,2.43,0.46
11,1994,0,0,2.43,0.46
12,1994,12755.75,10508.47,2.59,0.46
13,1994,12071.55,9403.49,2.59,0.46
14,1994,0,0,2.59,0.46
15,1994,0,0,2.59,0.46
16,1994,0,0,2.59,0.46
17,1994,4816.03,2942.79,2.59,0.46
18,1994,0,0,2.59,0.46
20,1994,8818.33,4099.19,2.59,0.46
21,1994,0,0,2.59,0.46
22,1994,9463.06,4379.1,2.59,0.46
23,1994,0,0,2.59,0.46
24,1994,0,0,2.59,0.46
25,1994,72005.91,48705.93,2.59,0.46
26,1994,47359.76,17197.61,4.75,1.34
27,1994,8508.04,3469.52,4.75,1.34
28,1994,5160.93,1784.06,4.75,1.34
29,1994,2941.11,1905,4.75,1.34
30,1994,31266.78,8336.87,2.77,0.55
31,1994,23525.53,11132.23,2.77,0.55
32,1994,35463.86,12086.7,2.77,0.55
33,1994,7681.82,2213.84,2.77,0.55
34,1994,11584.32,3663.41,1.43,0.28
35,1994,8211.37,3079.73,1.43,0.28
36,1994,1344.44,806.61,1.43,0.28
37,1994,10115.85,3426.77,1.43,0.28
38,1994,599.01,280.09,1.43,0.28
39,1994,9253.68,2363.76,1.43,0.28
40,1994,6918.91,2072.29,1.43,0.28
41,1994,6737.07,2981.41,2.58,0.81
42,1994,5769.43,4242.56,2.58,0.81
43,1994,2915.91,2332.76,2.58,0.81
44,1994,0,0,2.58,0.81
45,1994,35157,12092.56,3.28,0.97
46,1994,17988.39,6151.33,3.28,0.97
47,1994,0,0,3.28,0.97
48,1994,12800.85,7393.44,3.28,0.97
49,1994,1821.83,1620.89,3.28,0.97
50,1994,0,0,2.58,0.46
51,1994,0,0,2.58,0.46
52,1994,0,0,2.58,0.46
53,1994,0,0,2.58,0.46
54,1994,4613.44,3955.88,2.58,0.46
55,1994,0,0,2.58,0.46
56,1994,0,0,2.58,0.46
75,1994,38566.12,29034.41,5.87,1.16
76,1994,4230.07,2777.23,5.87,1.16
77,1994,1338.48,1361.06,2.59,0.46
1,1995,0,0,2.43,0.46
2,1995,0,0,2.43,0.46
3,1995,17805.27,12342.75,2.43,0.46
4,1995,89885.7,52299.52,2.43,0.46
5,1995,1502.18,712.93,2.43,0.46
6,1995,0,0,2.43,0.46
7,1995,0,0,2.43,0.46
8,1995,522.97,526.68,2.43,0.46
9,1995,1988.86,1442.33,2.43,0.46
10,1995,0,0,2.43,0.46
11,1995,0,0,2.43,0.46
12,1995,13889.59,5655.07,2.59,0.46
13,1995,40120.17,38310.42,2.59,0.46
14,1995,1720.52,1682.06,2.59,0.46
15,1995,4840.61,6016.31,2.59,0.46
16,1995,3169.44,3372.88,2.59,0.46
17,1995,23478.19,21872.77,2.59,0.46
18,1995,24760.97,19123.37,2.59,0.46
20,1995,11490.55,3293.62,2.59,0.46
21,1995,1668.07,1196.33,2.59,0.46
22,1995,8201.32,4909.47,2.59,0.46
23,1995,2347.57,2300.31,2.59,0.46
24,1995,837.74,851.35,2.59,0.46
25,1995,19504.65,8804.83,2.59,0.46
26,1995,44527.01,15343.5,2.92,0.81
27,1995,9528.76,3951.42,2.92,0.81
28,1995,4624.08,1446,2.92,0.81
29,1995,1811.67,1290.83,2.92,0.81
30,1995,65528.4,16174.7,2.42,0.41
31,1995,76929.98,32387.94,2.42,0.41
32,1995,46735.42,11055.46,2.42,0.41
33,1995,7019.3,6090.38,2.42,0.41
34,1995,69823.44,23027.74,2.3,0.53
35,1995,16248.06,4121.22,2.3,0.53
36,1995,868.66,813.34,2.3,0.53
37,1995,30053.92,17392.4,2.3,0.53
38,1995,1935.14,928.76,2.3,0.53
39,1995,18933.31,5470.52,2.3,0.53
40,1995,40047.41,16564.96,2.3,0.53
42,1995,1801.89,1260.9,2.98,0.98
43,1995,2698.35,1832.85,2.98,0.98
44,1995,1508.71,1463.14,2.98,0.98
45,1995,33404.74,11337.79,1.52,0.5
46,1995,5938.23,2307.83,1.52,0.5
47,1995,0,0,1.52,0.5
48,1995,5820.11,3884.41,1.52,0.5
49,1995,281.74,314.89,1.52,0.5
50,1995,0,0,2.58,0.46
51,1995,0,0,2.58,0.46
52,1995,0,0,2.58,0.46
53,1995,0,0,2.58,0.46
54,1995,2087.16,2179.06,2.58,0.46
55,1995,0,0,2.58,0.46
56,1995,0,0,2.58,0.46
62,1995,0,0,2.58,0.46
75,1995,3274.24,3187.13,3.8,1.03
76,1995,7302.34,5185.66,3.8,1.03
77,1995,0,0,2.59,0.46
1,1996,0,0,2.43,0.46
2,1996,0,0,2.43,0.46
3,1996,105804.4,95195.41,2.43,0.46
4,1996,34117.2,14569.81,2.43,0.46
5,1996,3567.68,3019.7,2.43,0.46
6,1996,1494.45,753.56,2.43,0.46
7,1996,291.6,308,2.43,0.46
8,1996,0,0,2.43,0.46
9,1996,5717.97,2639.67,2.43,0.46
10,1996,0,0,2.43,0.46
11,1996,0,0,2.43,0.46
12,1996,6519.6,3327,2.59,0.46
13,1996,9231.19,6598.82,2.59,0.46
14,1996,2251.54,2105.74,2.59,0.46
15,1996,0,0,2.59,0.46
16,1996,0,0,2.59,0.46
17,1996,9632.07,6210.91,2.59,0.46
18,1996,0,0,2.59,0.46
20,1996,16434.16,5739.92,2.59,0.46
21,1996,0,0,2.59,0.46
22,1996,5677.84,3144.16,2.59,0.46
23,1996,2347.57,1513.02,2.59,0.46
24,1996,9215.2,5959.9,2.59,0.46
25,1996,32556.64,19480.72,2.59,0.46
26,1996,30386.21,12311.84,2.26,0.67
27,1996,15469.16,4679.33,2.26,0.67
28,1996,11841.11,4334.36,2.26,0.67
29,1996,9278.5,5461.92,2.26,0.67
30,1996,68133.39,27685.39,2.39,0.3
31,1996,63933.24,21356.28,2.39,0.3
32,1996,85775.14,16800.97,2.39,0.3
33,1996,10886.49,2714.49,2.39,0.3
34,1996,36113.75,8613.03,1.15,0.22
35,1996,18109.86,4408.94,1.15,0.22
36,1996,12745.58,8515.29,2.76,0.94
37,1996,27959.23,15260.53,2.76,0.94
38,1996,0,0,2.76,0.94
39,1996,17600.1,5326.5,1.15,0.22
40,1996,24727.36,8840.61,2.76,0.94
41,1996,3299.23,2240.55,2.8,1.1
42,1996,1255.72,1347.4,2.8,1.1
43,1996,1903.95,1894.15,2.8,1.1
44,1996,2322.64,2372.24,2.8,1.1
45,1996,48001.49,13482.35,2.84,0.64
46,1996,8691.07,3379.8,2.84,0.64
47,1996,0,0,2.84,0.64
48,1996,6210.31,4459.76,2.84,0.64
49,1996,526.1,578.79,2.84,0.64
50,1996,0,0,2.58,0.46
51,1996,0,0,2.58,0.46
52,1996,0,0,2.58,0.46
53,1996,0,0,2.58,0.46
54,1996,0,0,2.58,0.46
55,1996,0,0,2.58,0.46
56,1996,0,0,2.58,0.46
62,1996,0,0,2.58,0.46
63,1996,0,0,2.58,0.46
64,1996,0,0,2.58,0.46
65,1996,0,0,2.58,0.46
66,1996,0,0,2.58,0.46
67,1996,0,0,2.58,0.46
68,1996,0,0,2.58,0.46
75,1996,42446.13,10792.63,5.39,0.84
76,1996,47980.8,39462.59,5.39,0.84
77,1996,8030.93,3287.45,2.59,0.46
1,1997,0,0,2.43,0.46
2,1997,0,0,2.43,0.46
3,1997,9245.04,4573.15,2.43,0.46
4,1997,28212.3,17717.92,2.43,0.46
5,1997,0,0,2.43,0.46
6,1997,249.07,237.46,2.43,0.46
7,1997,1069.2,1129.36,2.43,0.46
8,1997,0,0,2.43,0.46
9,1997,4226.33,3497.75,2.43,0.46
10,1997,0,0,2.43,0.46
11,1997,0,0,2.43,0.46
12,1997,1984.22,1455.82,2.59,0.46
13,1997,5680.73,4811.99,2.59,0.46
14,1997,0,0,2.59,0.46
15,1997,0,0,2.59,0.46
16,1997,0,0,2.59,0.46
17,1997,28294.23,19211.02,2.59,0.46
18,1997,4501.99,3476.97,2.59,0.46
20,1997,20175.27,6059.73,2.59,0.46
21,1997,3525.69,1836.32,2.59,0.46
22,1997,16087.21,4911.57,2.59,0.46
23,1997,2759.43,2656.65,2.59,0.46
24,1997,837.74,818.71,2.59,0.46
25,1997,27130.53,7968.04,2.59,0.46
26,1997,52326.34,13823.33,1.41,0.29
27,1997,9897.65,3005.85,1.41,0.29
28,1997,2792.49,1173.07,1.41,0.29
29,1997,3501.04,854.4,1.41,0.29
30,1997,60291.44,15062.99,2.61,0.51
31,1997,65465.04,26068.98,2.61,0.51
32,1997,68679.29,15741.34,2.61,0.51
33,1997,3954.8,2204.18,2.61,0.51
34,1997,50787.6,13056.89,2.54,0.58
35,1997,30877.49,8009.83,2.54,0.58
36,1997,1435.89,1344.5,2.54,0.58
37,1997,17685.05,8846.6,2.54,0.58
38,1997,2132.52,1148.23,2.54,0.58
39,1997,20040.83,5065.08,2.54,0.58
40,1997,22237.09,8664.46,2.54,0.58
41,1997,4196.68,1809.66,2.67,1.03
42,1997,5390.87,3202.53,2.67,1.03
43,1997,4238.24,4330.74,2.67,1.03
44,1997,2031.17,1972.66,2.67,1.03
45,1997,52383.87,17755.85,2.39,0.46
46,1997,10864.58,3141.77,2.39,0.46
47,1997,1665.47,1281.13,2.39,0.46
48,1997,4487.82,2465.99,2.39,0.46
49,1997,2661.31,2035.4,2.39,0.46
50,1997,0,0,2.58,0.46
51,1997,0,0,2.58,0.46
52,1997,0,0,2.58,0.46
53,1997,0,0,2.58,0.46
54,1997,0,0,2.58,0.46
55,1997,0,0,2.58,0.46
56,1997,0,0,2.58,0.46
62,1997,0,0,2.58,0.46
63,1997,0,0,2.58,0.46
64,1997,0,0,2.58,0.46
65,1997,0,0,2.58,0.46
66,1997,0,0,2.58,0.46
67,1997,0,0,2.58,0.46
68,1997,0,0,2.58,0.46
75,1997,19479.31,13280.89,2.15,0.54
76,1997,7240.57,3641.08,2.15,0.54
77,1997,8030.93,6010.41,2.59,0.46
1,1998,0,0,2.43,0.46
2,1998,0,0,2.43,0.46
3,1998,12669.13,7610.09,2.43,0.46
4,1998,69874.65,34483.46,2.43,0.46
5,1998,751.09,723.65,2.43,0.46
6,1998,249.07,237.46,2.43,0.46
7,1998,972,917.35,2.43,0.46
8,1998,0,0,2.43,0.46
9,1998,3977.72,1897.94,2.43,0.46
10,1998,0,0,2.43,0.46
11,1998,2166.75,868.91,2.43,0.46
12,1998,14598.24,12123.64,2.59,0.46
13,1998,6035.77,2545.59,2.59,0.46
14,1998,1125.77,1132.12,2.59,0.46
15,1998,0,0,2.59,0.46
16,1998,3169.44,3883.61,2.59,0.46
17,1998,13244.1,6164.29,2.59,0.46
18,1998,0,0,2.59,0.46
20,1998,14162.77,5463.46,2.59,0.46
21,1998,15023.91,14746.19,2.59,0.46
22,1998,0,0,2.59,0.46
23,1998,0,0,2.59,0.46
24,1998,837.74,875.03,2.59,0.46
25,1998,22437.68,11239.38,2.59,0.46
26,1998,60077.23,19009.89,1.44,0.3
27,1998,2832.06,982.75,1.44,0.3
28,1998,4294.79,3223.41,1.44,0.3
29,1998,1346.13,876.23,1.44,0.3
30,1998,19144.49,8278.66,2.5,0.4
31,1998,64158.27,22189.25,2.5,0.4
32,1998,58462.12,13260.57,2.5,0.4
33,1998,1893.63,1225.16,2.5,0.4
34,1998,72657.31,20514.29,2.8,0.6
35,1998,30632.54,9096.52,2.8,0.6
36,1998,10294.87,9635.05,2.8,0.6
37,1998,10971.21,3911.96,2.8,0.6
38,1998,0,0,2.8,0.6
39,1998,21802.66,7142.61,2.8,0.6
40,1998,23395.93,5662.68,2.8,0.6
41,1998,6070.4,2191.5,2.16,0.06
42,1998,0,0,2.16,0.06
43,1998,1955.71,2005.81,2.16,0.06
44,1998,546.74,528.16,2.16,0.06
45,1998,40814.12,12290.9,2.41,0.43
46,1998,6625.28,3431.23,2.41,0.43
47,1998,0,0,2.41,0.43
48,1998,2640.21,1326.61,2.41,0.43
49,1998,1341.99,1198.59,2.41,0.43
50,1998,0,0,2.59,0.46
51,1998,0,0,2.59,0.46
52,1998,0,0,2.59,0.46
53,1998,0,0,2.59,0.46
54,1998,0,0,2.59,0.46
55,1998,0,0,2.59,0.46
56,1998,0,0,2.59,0.46
62,1998,0,0,2.59,0.46
63,1998,0,0,2.59,0.46
64,1998,0,0,2.59,0.46
65,1998,0,0,2.59,0.46
66,1998,0,0,2.59,0.46
67,1998,0,0,2.59,0.46
68,1998,0,0,2.59,0.46
69,1998,0,0,2.59,0.46
75,1998,34007.72,11084.01,1.45,0.33
76,1998,27262.32,11329.96,1.45,0.33
77,1998,1338.48,1361.06,2.59,0.46
1,1999,267.3,262.09,2.43,0.46
2,1999,0,0,2.43,0.46
3,1999,8731.43,5052.21,2.43,0.46
4,1999,48223.35,28639.18,2.43,0.46
5,1999,3004.36,1902.51,2.43,0.46
6,1999,0,0,2.43,0.46
7,1999,0,0,2.43,0.46
8,1999,0,0,2.43,0.46
9,1999,3977.72,4139.94,2.43,0.46
10,1999,668.25,805.39,2.43,0.46
11,1999,3250.12,3180.46,2.43,0.46
12,1999,20834.39,8973.65,2.59,0.46
13,1999,41185.31,20151.33,2.59,0.46
14,1999,4503.08,2907.64,2.59,0.46
15,1999,41145.21,51138.66,2.59,0.46
16,1999,0,0,2.59,0.46
17,1999,8557.73,4279.2,2.59,0.46
18,1999,4501.99,3476.97,2.59,0.46
20,1999,12826.66,3332,2.59,0.46
21,1999,1378.93,1406.18,2.59,0.46
22,1999,15339.18,11053.03,2.59,0.46
23,1999,0,0,2.59,0.46
24,1999,1150.63,1242.38,2.59,0.46
25,1999,27610.94,14997.58,2.59,0.46
26,1999,42343.42,8647.24,1.72,0.2
27,1999,5057.3,1859.64,1.72,0.2
28,1999,5794.61,2878.92,1.72,0.2
29,1999,2938.01,1220,1.72,0.2
30,1999,29877.55,6147.87,3.03,0.61
31,1999,56071.46,24392.36,3.03,0.61
32,1999,69753.29,16969.73,3.03,0.61
33,1999,6895.63,3416.98,3.03,0.61
34,1999,53764.37,12470.27,1.43,0.17
35,1999,37014.14,9533.35,1.43,0.17
36,1999,1890.68,1350.48,1.43,0.17
37,1999,34028.29,10994.56,1.43,0.17
38,1999,0,0,1.43,0.17
39,1999,19055.3,5915.09,1.43,0.17
40,1999,15540.98,2973.43,1.43,0.17
41,1999,3788.18,2395.88,2.13,0.06
42,1999,1155.57,635.56,2.13,0.06
43,1999,1932.36,1392.74,2.13,0.06
44,1999,0,0,2.13,0.06
45,1999,33790.06,13146.58,2.55,0.51
46,1999,5667.28,2031.24,2.55,0.51
47,1999,889.44,961.65,2.55,0.51
48,1999,1997.26,1614.15,2.55,0.51
49,1999,947.51,1043.56,2.55,0.51
50,1999,0,0,2.59,0.46
51,1999,0,0,2.59,0.46
52,1999,0,0,2.59,0.46
53,1999,0,0,2.59,0.46
54,1999,0,0,2.59,0.46
55,1999,0,0,2.59,0.46
56,1999,0,0,2.59,0.46
62,1999,0,0,2.59,0.46
63,1999,0,0,2.59,0.46
64,1999,0,0,2.59,0.46
65,1999,0,0,2.59,0.46
66,1999,0,0,2.59,0.46
67,1999,0,0,2.59,0.46
68,1999,0,0,2.59,0.46
69,1999,0,0,2.59,0.46
75,1999,29157.15,15001.67,2.02,0.29
76,1999,5349.46,4005.72,2.02,0.29
77,1999,4182.77,4035.66,2.59,0.46
1,2000,0,0,2.43,0.46
2,2000,0,0,2.43,0.46
3,2000,20886.95,12326.92,2.43,0.46
4,2000,129907.8,66489.88,2.43,0.46
5,2000,1126.63,1085.48,2.43,0.46
6,2000,3985.2,1873.33,2.43,0.46
7,2000,0,0,2.43,0.46
8,2000,0,0,2.43,0.46
9,2000,3977.72,2660.96,2.43,0.46
10,2000,3341.25,4026.95,2.43,0.46
11,2000,7854.46,7138.8,2.43,0.46
12,2000,15590.36,12399.89,2.59,0.46
13,2000,43670.63,14254.7,2.59,0.46
14,2000,4503.08,2122.72,2.59,0.46
15,2000,2525.53,3058.75,2.59,0.46
16,2000,3169.44,2280.24,2.59,0.46
17,2000,12040.09,6894.29,2.59,0.46
18,2000,0,0,2.59,0.46
20,2000,6947.77,2069.14,2.59,0.46
21,2000,0,0,2.59,0.46
22,2000,1945.18,2010.37,2.59,0.46
23,2000,0,0,2.59,0.46
24,2000,3555.96,3666.6,2.59,0.46
25,2000,31090.12,11025.95,2.59,0.46
26,2000,51920.33,14271.54,1.43,0.17
27,2000,13470.23,4886.29,1.43,0.17
28,2000,5115.74,3244.44,1.43,0.17
29,2000,2672.4,1355.46,1.43,0.17
30,2000,45315.57,8794.14,2.1,0.32
31,2000,29652.18,9587.79,2.1,0.32
32,2000,50793.65,12421.86,2.1,0.32
33,2000,5849.76,2501.39,2.1,0.32
34,2000,70741.01,21052.62,2.23,0.37
35,2000,29836.71,6085.85,2.23,0.37
36,2000,5042.73,4713.14,2.23,0.37
37,2000,17192.68,8816.21,2.23,0.37
38,2000,0,0,2.23,0.37
39,2000,18921.05,5101.88,2.23,0.37
40,2000,22527.27,9162.25,2.23,0.37
41,2000,2529.65,1875.33,2.15,0.05
42,2000,962.81,1045.5,2.15,0.05
43,2000,3406.28,2923.95,2.15,0.05
44,2000,0,0,2.15,0.05
45,2000,11934.16,5136.73,2.89,0.49
46,2000,5504.4,1939.62,2.89,0.49
47,2000,0,0,2.89,0.49
48,2000,4526.34,2816.85,2.89,0.49
49,2000,2147.32,1763.56,2.89,0.49
50,2000,0,0,2.59,0.46
51,2000,0,0,2.59,0.46
52,2000,0,0,2.59,0.46
53,2000,0,0,2.59,0.46
54,2000,0,0,2.59,0.46
55,2000,0,0,2.59,0.46
56,2000,0,0,2.59,0.46
62,2000,0,0,2.59,0.46
63,2000,0,0,2.59,0.46
64,2000,0,0,2.59,0.46
65,2000,0,0,2.59,0.46
66,2000,0,0,2.59,0.46
67,2000,0,0,2.59,0.46
68,2000,0,0,2.59,0.46
