"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"972","Augsburg College","55454",27,4,2,21932.5,25000,767,17402,1013,49700,44800,13300,28800,61400,86200,0.5106,0.3543,0.6524
"973","Bemidji State University","56601",27,4,1,12562.5,19281.5,1064,9500,2004,39600,37300,10900,22900,50600,67000,0.9046,0.368,0.4533
"974","Bethany Lutheran College","56001",27,4,2,15875,24524,173,8250,190,36300,34000,8200,20900,46700,63500,0.8429,0.4185,0.5062
"975","Bethel University","55112",27,4,2,19500,22050,1002,14500,1011,48700,44000,11700,28200,64200,88000,0.8232,0.2889,0.7335
"976","Bethel Seminary-St. Paul","55112",27,4,2,19500,22050,1002,14500,1011,48700,44000,11700,28200,64200,88000,NA,NA,NA
"977","Carleton College","55057-4001",27,4,2,16500,16849.5,312,9550,41,56900,46100,11800,30100,66600,105200,0.3099,0.1322,0.9262
"978","Concordia College at Moorhead","56562",27,4,2,23000,25000,867,11250,488,46600,41200,14200,27700,57100,82400,0.9456,0.2676,0.6936
"979","Concordia University-Saint Paul","55104-5494",27,4,2,20246,23625,441,18042,936,53600,45300,13500,28600,67900,97400,NA,0.3228,0.4785
"980","Martin Luther College","56073-3965",27,4,2,15000,18666,227,8167,120,38300,40400,3100,18000,54600,69800,0.9502,0.3529,0.7279
"981","Globe University-Woodbury","55125-3388",27,4,3,12667,22582,1515,9298,3813,33900,31100,6700,17700,45000,62700,NA,0.6084,0.4853
"982","Gustavus Adolphus College","56082-1498",27,4,2,25000,25000,742,11748.5,308,56800,50100,22600,36000,68200,96800,0.6409,0.2368,0.8173
"983","Hamline University","55104-1284",27,4,2,17125,24250,665,12000,839,51400,46900,14700,31400,63400,85200,0.7146,0.3471,0.6776
"984","Hazelden Graduate School of Addiction Studies","55012-0011",27,4,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985","The Art Institutes International-Minnesota","55402",27,4,3,15834,30793,721,9168,1406,35900,33000,8800,20800,47500,63300,0.4544,0.5214,0.3846
"986","Luther Seminary","55108-1496",27,4,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
